transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
67,27.34,6,Food,0,0,70,2,35,0
68,291.69,18,Electronics,1,1,68,1,22,0
69,13.95,3,Electronics,0,0,59,1,39,0
70,780.15,15,Electronics,0,0,75,3,27,0
71,266.31,12,Grocery,0,0,82,2,31,0
72,39.88,19,Clothing,0,0,29,1,29,0
73,1.0,18,Travel,0,1,62,2,49,0
74,304.18,4,Grocery,0,0,30,1,56,0
75,220.88,22,Clothing,0,1,75,1,62,0
76,235.02,4,Travel,0,1,38,2,53,0
77,265.54,19,Travel,0,0,72,0,68,0
78,13.85,23,Travel,0,0,36,4,67,0
79,79.9,3,Electronics,0,0,76,4,64,0
80,22.17,1,Electronics,0,0,92,1,32,0
81,357.94,12,Electronics,0,0,83,3,50,0
82,175.73,15,Travel,0,1,42,0,33,0
83,72.33,21,Travel,1,0,77,1,21,0
84,11.82,1,Electronics,0,0,55,1,68,0
85,67.05,18,Travel,0,0,59,3,20,0
86,70.8,16,Electronics,0,0,28,2,43,0
87,235.42,4,Electronics,0,0,33,0,54,0
88,182.68,17,Electronics,1,0,39,0,51,0
89,392.81,22,Clothing,0,0,66,4,59,0
90,115.03,20,Travel,0,0,83,1,26,0
91,22.93,17,Grocery,0,0,97,1,61,0
92,224.84,7,Electronics,0,0,56,0,31,0
93,257.47,14,Grocery,0,0,69,2,64,0
94,148.3,12,Clothing,0,0,29,1,50,0
95,265.3,12,Travel,0,1,55,4,65,0
96,122.55,15,Electronics,0,0,49,1,55,0
97,133.14,21,Electronics,0,0,80,2,22,0
98,100.41,19,Electronics,0,0,25,2,68,0
99,4.63,12,Grocery,0,0,85,0,64,0
100,20.55,19,Clothing,0,0,91,3,45,0
101,5.75,1,Travel,0,0,91,1,50,0
102,182.11,2,Clothing,0,0,66,3,34,0
103,67.93,14,Electronics,0,0,83,3,38,0
104,127.88,22,Clothing,0,0,74,2,24,0
105,428.63,18,Grocery,0,0,58,2,57,0
106,51.61,12,Food,0,0,92,4,52,0
107,95.09,4,Food,0,1,78,6,24,0
108,253.57,21,Travel,0,1,38,2,25,0
109,46.76,5,Travel,0,0,56,3,68,0
110,14.42,13,Clothing,1,0,94,0,61,0
111,61.59,3,Travel,0,0,32,0,59,0
112,31.65,21,Grocery,0,0,59,1,48,0
113,477.89,18,Electronics,0,0,48,3,22,0
114,297.16,22,Electronics,0,0,27,2,22,0
115,180.63,6,Clothing,0,0,60,3,41,0
116,369.27,3,Electronics,1,0,75,1,39,0
117,293.03,1,Clothing,0,0,81,4,61,0
118,37.17,6,Travel,1,0,83,4,30,0
119,401.55,2,Travel,0,0,46,1,39,0
120,139.52,14,Grocery,0,0,61,0,43,0
121,296.52,0,Electronics,0,0,99,3,18,0
122,407.56,1,Grocery,1,0,36,2,34,1
123,68.89,9,Food,0,0,45,0,36,0
124,20.99,15,Grocery,1,1,39,2,19,1
125,46.56,14,Clothing,0,0,36,4,67,0
126,100.27,23,Clothing,0,0,80,5,69,0
127,306.69,14,Grocery,0,0,40,5,28,0
128,354.84,13,Travel,0,0,57,4,47,0
129,1.26,21,Food,0,1,67,2,63,0
130,128.68,13,Grocery,0,1,73,4,40,0
131,97.25,5,Travel,1,0,42,1,32,0
132,45.21,13,Grocery,0,0,40,2,40,0
133,22.98,16,Electronics,1,1,64,3,29,0
134,74.14,17,Clothing,0,0,91,1,44,0
135,515.36,19,Electronics,0,1,86,1,23,0
136,70.27,18,Electronics,0,0,51,2,47,0
137,131.66,16,Food,0,0,38,3,22,0
138,218.54,15,Travel,0,0,90,0,63,0
139,81.36,7,Clothing,1,0,51,4,55,0
140,642.2,6,Electronics,0,0,78,1,52,0
141,590.76,19,Clothing,1,0,84,3,23,0
142,52.21,11,Travel,0,0,64,2,31,0
143,123.78,8,Grocery,0,0,69,1,69,0
144,64.43,13,Electronics,0,0,92,1,67,0
145,60.34,19,Travel,0,0,92,2,34,0
146,6.77,0,Clothing,0,0,87,2,26,0
147,169.29,9,Travel,0,0,64,3,57,0
148,125.73,16,Grocery,0,0,65,1,48,0
149,9.51,16,Travel,0,0,85,5,53,0
150,58.79,16,Clothing,0,0,89,1,27,0
151,429.99,3,Electronics,0,0,25,2,44,0
152,49.29,16,Electronics,0,0,33,7,66,0
153,28.18,17,Food,0,0,99,4,69,0
154,121.01,19,Clothing,1,0,39,3,22,0
155,763.93,22,Food,0,0,83,1,34,0
156,49.89,1,Food,0,0,90,0,48,0
157,200.73,7,Grocery,0,0,34,1,31,0
158,258.1,12,Clothing,0,0,73,2,40,0
159,48.84,22,Electronics,0,0,35,1,61,0
160,234.49,21,Clothing,0,0,54,2,46,0
161,82.53,19,Grocery,1,0,47,3,56,0
162,180.09,21,Clothing,1,0,46,1,32,0
163,180.69,14,Clothing,0,1,75,2,64,0
164,138.13,19,Food,0,0,66,3,29,0
165,17.03,22,Clothing,0,0,53,0,50,0
166,324.66,8,Food,0,0,69,1,57,0
167,69.63,2,Food,0,0,57,0,47,0
168,37.16,2,Travel,0,0,63,6,39,0
169,7.49,1,Grocery,0,0,97,1,47,0
170,160.88,0,Food,0,0,89,2,49,0
171,203.73,13,Clothing,0,0,74,3,37,0
172,3.01,16,Food,0,0,72,0,55,0
173,129.17,12,Food,0,0,61,3,37,0
174,46.23,18,Food,1,1,57,2,19,0
175,186.5,22,Electronics,0,0,30,2,48,0
176,34.49,14,Electronics,0,0,94,2,67,0
177,211.36,13,Electronics,0,0,79,1,45,0
178,88.01,1,Electronics,0,1,68,0,20,0
179,496.86,6,Travel,0,1,74,4,37,0
180,26.63,16,Food,0,0,78,2,52,0
181,75.08,17,Travel,0,0,87,4,36,0
182,21.68,5,Clothing,0,0,40,3,23,0
183,465.51,20,Grocery,0,0,71,5,28,0
184,377.7,7,Travel,1,0,81,2,62,0
185,53.7,1,Electronics,0,0,26,3,23,0
186,194.18,0,Electronics,0,0,61,3,35,0
187,305.91,15,Clothing,0,0,47,4,64,0
188,145.82,6,Food,0,0,37,1,31,0
189,135.77,21,Grocery,1,0,89,4,31,0
190,49.84,23,Travel,0,0,72,2,18,0
191,17.59,10,Food,0,0,31,1,34,0
192,409.52,14,Food,0,0,55,2,31,0
193,415.22,12,Travel,1,0,87,2,48,0
194,180.48,23,Travel,0,0,69,4,62,0
195,74.53,1,Travel,0,0,80,3,27,0
196,77.32,13,Travel,0,0,88,3,55,0
197,233.0,23,Electronics,0,0,46,0,50,0
198,409.34,5,Food,0,0,87,2,22,0
199,392.6,8,Food,0,0,52,1,33,0
200,272.44,6,Electronics,0,0,68,0,37,0
201,184.92,17,Food,0,0,38,2,65,0
202,15.82,23,Travel,0,0,43,2,39,0
203,31.73,8,Grocery,0,0,84,1,57,0
204,411.88,22,Food,0,0,26,3,34,0
205,167.85,3,Grocery,1,0,75,1,67,0
206,1.66,8,Grocery,0,0,58,2,67,0
207,19.26,3,Electronics,0,0,75,2,26,0
208,196.05,11,Clothing,0,0,43,0,55,0
209,0.91,3,Food,0,0,60,2,59,0
210,31.56,23,Electronics,0,0,50,2,26,0
211,143.23,19,Electronics,0,0,59,4,32,0
212,211.92,13,Grocery,0,0,87,1,69,0
213,189.98,23,Food,0,0,28,2,63,0
214,45.71,23,Electronics,0,0,27,1,31,0
215,224.18,6,Travel,0,0,29,0,26,0
216,48.75,12,Electronics,0,0,53,1,26,0
217,70.85,21,Travel,0,0,43,2,50,0
218,247.02,7,Clothing,0,0,41,0,48,0
219,188.78,22,Travel,0,0,58,2,27,0
220,340.55,4,Travel,0,0,44,0,27,0
221,192.93,11,Grocery,0,0,52,3,56,0
222,151.21,12,Electronics,0,0,97,2,22,0
223,17.7,19,Clothing,0,0,91,3,35,0
224,82.51,13,Electronics,0,0,34,3,50,0
225,55.47,17,Travel,0,0,45,1,66,0
226,50.35,23,Travel,0,0,28,3,35,0
227,650.22,19,Electronics,0,1,46,1,69,0
228,89.89,3,Clothing,0,0,95,2,29,0
229,400.69,20,Clothing,0,0,86,0,42,0
230,179.52,17,Grocery,0,0,36,4,44,0
231,285.09,6,Travel,0,0,35,3,58,0
232,125.72,14,Travel,0,0,46,4,26,0
233,154.83,20,Grocery,0,0,53,2,66,0
234,122.09,5,Electronics,0,0,85,0,30,0
235,39.1,15,Travel,1,0,85,5,66,0
236,230.72,19,Electronics,0,1,51,1,39,0
237,59.32,23,Clothing,0,0,71,3,19,0
238,4.43,7,Food,0,0,38,1,56,0
239,186.65,20,Grocery,0,0,31,2,65,0
240,35.09,15,Travel,0,0,39,2,32,0
241,507.79,21,Grocery,0,0,70,4,40,0
242,553.96,15,Clothing,0,0,52,2,30,0
243,443.43,2,Clothing,0,0,67,3,62,0
244,83.21,16,Clothing,0,0,34,1,64,0
245,2.8,8,Clothing,0,0,75,1,37,0
246,474.39,2,Food,0,0,27,3,30,0
247,100.61,19,Electronics,0,0,68,3,44,0
248,612.15,6,Electronics,0,0,78,3,59,0
249,596.47,17,Food,0,0,58,3,34,0
250,345.13,11,Electronics,0,0,89,3,48,0
251,62.78,18,Clothing,0,0,49,0,43,0
252,87.53,15,Electronics,0,0,87,0,39,0
253,342.85,21,Grocery,0,0,94,1,58,0
254,68.61,23,Electronics,0,0,69,1,49,0
255,33.43,16,Grocery,0,0,92,0,39,0
256,146.47,19,Travel,0,0,50,0,45,0
257,495.23,14,Grocery,0,0,50,0,59,0
258,214.35,0,Grocery,0,0,50,1,64,0
259,151.94,1,Clothing,0,0,86,2,18,0
260,18.4,7,Clothing,0,0,85,0,21,0
261,171.82,21,Clothing,0,0,26,1,33,0
262,829.9,1,Grocery,1,0,65,2,60,0
263,27.17,18,Food,0,0,69,0,40,0
264,131.49,8,Clothing,0,0,38,4,55,0
265,377.75,8,Clothing,0,0,61,2,58,0
266,243.01,12,Grocery,0,0,26,3,65,0
267,214.93,5,Travel,0,0,29,0,53,0
268,218.21,14,Travel,0,1,26,0,31,0
269,80.19,18,Electronics,0,0,25,0,60,0
270,62.56,20,Travel,0,0,72,1,60,0
271,298.33,14,Clothing,0,0,46,0,20,0
272,299.04,17,Food,0,0,65,1,18,0
273,363.23,6,Electronics,0,0,49,1,61,0
274,440.03,10,Food,0,0,70,2,33,0
275,128.9,7,Food,0,0,33,5,25,0
276,125.31,5,Clothing,0,0,85,3,18,0
277,288.17,7,Grocery,0,0,71,0,38,0
278,188.95,1,Grocery,0,0,98,3,19,0
279,217.9,18,Grocery,0,0,27,1,29,0
280,285.95,15,Travel,0,0,32,0,31,0
281,397.32,6,Grocery,0,0,49,2,39,0
282,74.25,9,Clothing,0,0,60,0,37,0
283,84.77,11,Travel,0,0,67,3,34,0
284,17.77,16,Grocery,0,0,74,1,24,0
285,155.41,6,Food,0,0,87,3,38,0
286,6.59,21,Clothing,0,0,58,2,51,0
287,112.79,7,Clothing,0,0,97,1,39,0
288,140.81,6,Electronics,0,0,34,2,39,0
289,60.77,3,Clothing,1,0,51,5,38,1
290,160.85,2,Food,0,0,37,2,30,0
291,5.58,18,Clothing,0,0,75,3,62,0
292,6.85,14,Electronics,0,0,92,0,23,0
293,311.28,3,Clothing,0,0,40,0,42,0
294,80.39,8,Clothing,1,0,36,1,61,0
295,24.46,12,Electronics,0,0,49,1,48,0
296,132.96,17,Clothing,0,1,73,4,42,0
297,264.54,20,Travel,0,0,40,1,49,0
298,43.76,15,Clothing,0,0,26,4,46,0
299,175.54,0,Grocery,0,0,97,1,65,0
300,16.06,3,Grocery,0,0,59,2,52,0
301,9.55,17,Travel,0,0,46,3,29,0
302,136.42,7,Clothing,0,1,72,1,33,0
303,140.02,19,Food,0,1,88,4,26,0
304,182.62,15,Clothing,1,0,91,0,30,0
305,233.09,20,Grocery,0,0,46,1,29,0
306,670.24,10,Electronics,0,1,97,3,43,0
307,130.73,19,Travel,0,0,71,1,32,0
308,70.2,20,Electronics,0,0,64,3,21,0
309,285.42,20,Food,0,0,77,4,66,0
310,56.85,20,Clothing,0,0,27,4,27,0
311,104.04,18,Food,0,0,30,3,65,0
312,14.71,22,Electronics,0,0,38,0,61,0
313,4.62,18,Clothing,0,0,82,4,55,0
314,591.73,17,Food,0,0,31,1,65,0
315,325.4,18,Grocery,0,0,53,0,29,0
316,214.32,10,Grocery,0,0,27,0,39,0
317,94.65,2,Travel,0,0,37,0,55,0
318,34.26,7,Grocery,0,0,60,3,47,0
319,30.62,19,Grocery,0,0,62,1,32,0
320,51.84,18,Electronics,0,0,99,1,53,0
321,143.42,9,Grocery,0,1,84,1,22,0
322,225.69,15,Grocery,0,0,97,2,66,0
323,194.29,4,Electronics,0,0,46,1,21,0
324,59.11,19,Grocery,0,0,45,1,43,0
325,557.66,8,Grocery,0,0,57,0,60,0
326,241.02,7,Travel,0,0,28,2,36,0
327,145.48,10,Grocery,0,0,68,2,31,0
328,170.29,15,Grocery,0,0,25,1,44,0
329,97.93,6,Travel,0,0,86,1,55,0
330,51.24,14,Electronics,0,0,46,2,43,0
331,79.2,23,Grocery,0,0,83,2,59,0
332,255.27,20,Food,0,0,61,3,40,0
333,2.61,19,Electronics,1,0,47,5,59,0
334,22.21,22,Electronics,0,0,57,1,67,0
335,8.48,16,Grocery,0,0,46,4,66,0
336,7.48,5,Travel,0,0,88,5,19,0
337,348.16,14,Electronics,0,0,86,2,30,0
338,218.92,7,Travel,0,0,78,2,29,0
339,115.7,6,Food,0,0,82,3,54,0
340,18.53,1,Travel,0,0,36,3,57,0
341,121.77,12,Clothing,0,0,42,4,53,0
342,115.46,22,Travel,0,0,91,3,20,0
343,34.24,5,Electronics,0,0,84,1,21,0
344,102.4,4,Travel,0,0,25,5,48,0
345,91.5,19,Travel,0,0,44,2,58,0
346,172.21,0,Clothing,0,1,41,1,45,0
347,181.46,17,Clothing,0,0,73,3,57,0
348,8.35,14,Grocery,0,0,46,0,28,0
349,84.49,22,Electronics,0,0,57,0,64,0
350,176.96,9,Grocery,0,0,50,5,60,0
351,125.9,2,Clothing,1,0,51,0,33,0
352,349.44,4,Travel,0,0,84,5,55,0
353,193.5,23,Clothing,0,0,58,5,46,0
354,32.01,12,Food,0,0,76,3,32,0
355,13.17,7,Travel,0,0,79,3,38,0
356,185.11,21,Grocery,0,0,85,5,31,0
357,4.84,20,Travel,0,0,74,2,33,0
358,158.64,1,Food,0,0,87,3,44,0
359,507.11,8,Clothing,0,0,88,0,45,0
360,154.22,16,Electronics,0,0,38,5,31,0
361,88.43,17,Electronics,0,0,75,0,53,0
362,185.55,12,Electronics,0,0,51,0,27,0
363,110.33,0,Clothing,0,0,64,0,64,0
364,141.99,11,Electronics,0,1,92,3,26,0
365,510.86,19,Food,0,0,33,2,45,0
366,87.83,19,Clothing,0,0,80,5,31,0
367,584.84,20,Electronics,0,0,63,1,36,0
368,424.36,4,Grocery,0,0,39,4,30,0
369,39.22,7,Clothing,0,0,42,3,68,0
370,12.94,14,Clothing,0,0,76,2,54,0
371,19.12,2,Travel,0,1,85,2,56,0
372,3.31,5,Electronics,0,0,61,4,69,0
373,17.86,12,Grocery,0,0,77,0,20,0
374,206.8,11,Food,0,0,36,3,24,0
375,13.29,18,Clothing,0,0,49,4,45,0
376,69.15,17,Food,0,0,49,2,31,0
377,335.43,23,Food,0,0,45,1,54,0
378,4.24,0,Food,0,1,31,5,65,1
379,303.22,6,Travel,0,0,73,1,69,0
380,59.6,11,Food,0,0,63,2,39,0
381,22.64,9,Electronics,0,0,99,5,48,0
382,214.77,11,Electronics,0,0,73,1,18,0
383,178.45,10,Grocery,0,0,58,0,64,0
384,377.89,3,Grocery,1,0,99,0,29,0
385,239.09,18,Food,0,0,40,4,41,0
386,292.86,5,Food,1,0,39,4,47,0
387,59.64,8,Travel,0,0,64,0,63,0
388,35.16,19,Food,0,0,31,3,65,0
389,249.98,9,Food,0,0,64,3,44,0
390,295.96,4,Food,1,0,90,1,33,0
391,838.26,12,Clothing,0,0,94,2,38,0
392,95.77,8,Clothing,0,0,46,1,21,0
393,83.74,1,Travel,0,0,83,4,19,0
394,269.63,17,Travel,0,0,29,1,38,0
395,75.01,20,Electronics,0,0,42,1,24,0
396,480.62,0,Travel,0,0,35,3,54,0
397,351.87,23,Electronics,0,0,32,0,24,0
398,100.86,20,Food,0,0,44,1,19,0
399,250.16,11,Travel,0,0,99,4,29,0
400,252.83,9,Travel,0,0,83,4,18,0
401,19.59,1,Travel,0,0,49,1,20,0
402,419.12,8,Electronics,1,1,82,6,18,1
403,126.67,1,Electronics,0,0,43,2,52,0
404,315.24,22,Grocery,0,0,26,1,33,0
405,69.43,23,Electronics,0,0,82,2,68,0
406,406.58,21,Electronics,0,0,90,3,25,0
407,88.74,13,Clothing,0,0,31,3,38,0
408,1.96,10,Travel,0,0,75,2,68,0
409,424.42,22,Electronics,0,0,57,1,22,0
410,17.23,10,Travel,0,0,99,1,48,0
411,69.24,16,Travel,0,0,37,2,43,0
412,539.46,3,Clothing,0,0,34,3,18,0
413,541.43,12,Travel,0,1,83,3,40,0
414,153.36,6,Electronics,0,0,62,2,30,0
415,179.86,15,Travel,0,0,44,4,49,0
416,107.1,0,Grocery,0,0,38,1,22,0
417,62.46,12,Grocery,0,1,64,2,37,0
418,71.73,0,Clothing,0,0,31,2,68,0
419,200.94,10,Electronics,0,0,93,2,45,0
420,251.25,5,Clothing,0,0,30,2,24,0
421,282.28,19,Grocery,0,0,64,1,30,0
422,280.59,2,Electronics,0,0,77,1,49,0
423,17.21,11,Travel,0,0,33,2,63,0
424,122.77,4,Electronics,0,0,89,3,35,0
425,10.67,8,Food,0,1,44,3,63,0
426,143.54,11,Electronics,0,0,30,2,62,0
427,104.86,9,Travel,0,0,63,1,25,0
428,393.59,18,Food,0,0,45,2,46,0
429,77.79,4,Clothing,0,0,61,6,37,0
430,22.41,4,Electronics,0,0,36,2,43,0
431,27.78,8,Clothing,0,0,94,4,35,0
432,258.02,19,Electronics,0,0,39,5,63,0
433,173.32,16,Grocery,0,0,45,2,19,0
434,19.19,9,Grocery,0,0,70,0,60,0
435,15.81,20,Travel,0,0,95,2,64,0
436,217.3,0,Grocery,0,0,34,6,59,1
437,13.6,21,Food,0,0,90,2,66,0
438,310.53,15,Food,0,0,63,4,41,0
439,220.5,14,Electronics,0,0,46,1,60,0
440,15.27,22,Clothing,0,0,66,2,25,0
441,15.96,16,Food,0,0,30,1,39,0
442,776.78,19,Electronics,1,0,76,2,51,0
443,84.39,12,Clothing,0,0,61,3,49,0
444,83.35,0,Grocery,1,0,30,2,52,1
445,301.6,7,Electronics,0,0,97,2,42,0
446,529.59,4,Clothing,0,0,53,1,24,0
447,768.38,5,Travel,0,0,93,4,31,0
448,251.98,22,Travel,0,0,75,5,61,0
449,84.96,19,Food,0,0,51,0,46,0
450,15.69,13,Clothing,0,0,61,2,54,0
451,270.22,21,Travel,0,0,70,3,54,0
452,147.12,22,Food,0,1,49,2,24,0
453,99.37,10,Electronics,0,0,61,0,50,0
454,426.28,5,Electronics,0,0,47,4,34,0
455,21.22,10,Clothing,1,0,50,6,36,0
456,122.13,12,Clothing,0,0,76,3,42,0
457,2.06,11,Clothing,0,0,27,1,25,0
458,113.82,21,Clothing,1,0,97,0,29,0
459,10.43,1,Travel,0,0,96,1,20,0
460,22.77,20,Travel,0,0,52,4,48,0
461,22.5,2,Food,0,0,58,1,61,0
462,188.56,22,Travel,0,0,89,3,25,0
463,246.71,3,Electronics,1,0,53,1,21,0
464,157.6,16,Food,0,0,28,0,49,0
465,589.45,21,Travel,0,0,92,1,24,0
466,84.56,5,Clothing,0,0,86,3,31,0
467,60.56,6,Travel,0,0,62,3,51,0
468,365.31,14,Grocery,0,0,91,1,22,0
469,45.55,10,Food,0,0,26,2,29,0
470,594.52,23,Travel,0,0,68,0,54,0
471,2.2,2,Travel,0,0,56,0,44,0
472,630.45,5,Electronics,0,0,27,0,38,0
473,7.94,1,Clothing,0,1,41,0,30,0
474,399.19,13,Clothing,0,0,36,1,42,0
475,135.03,8,Electronics,0,0,88,1,51,0
476,892.23,17,Electronics,0,0,87,1,59,0
477,13.8,18,Grocery,1,0,96,5,61,0
478,145.28,11,Food,0,0,65,0,65,0
479,627.04,12,Clothing,0,0,26,2,34,0
480,133.28,11,Electronics,0,0,77,3,38,0
481,178.67,11,Electronics,0,0,58,2,32,0
482,214.18,17,Food,0,0,98,0,43,0
483,109.1,8,Electronics,0,0,64,3,50,0
484,177.78,16,Grocery,0,0,95,5,52,0
485,158.01,20,Food,0,0,89,3,43,0
486,416.56,15,Grocery,0,0,79,3,29,0
487,8.37,16,Travel,0,0,98,2,39,0
488,59.37,20,Clothing,1,0,75,4,27,0
489,540.72,23,Electronics,0,0,29,4,26,0
490,397.74,7,Food,0,0,80,2,53,0
491,109.47,10,Grocery,0,1,45,2,51,0
492,174.23,23,Clothing,0,0,82,4,38,0
493,58.48,1,Clothing,0,0,97,5,50,0
494,37.51,7,Electronics,1,1,55,2,27,0
495,112.15,11,Clothing,0,0,70,2,62,0
496,78.47,20,Electronics,0,0,51,3,24,0
497,157.72,0,Travel,0,0,94,3,45,0
498,14.57,22,Electronics,0,0,55,2,35,0
499,659.69,12,Grocery,0,0,65,2,32,0
500,771.1,21,Clothing,0,0,69,3,57,0
